alcohol,density,chlorides,volatile acidity,total sulfur dioxide,fixed acidity,quality
10.8,0.9918,0.05,0.13,78.0,5.9,6
11.7,0.9942,0.048,0.34,41.0,7.2,5
9.8,0.9942,0.039,0.19,143.0,7.9,5
9.8,0.9942,0.039,0.19,143.0,7.9,5
11.4,0.9901,0.038,0.25,101.0,6.9,6
11.2,0.9898,0.033,0.36,96.0,5.8,6
11.4,0.9902,0.038,0.35,72.0,5.6,5
9.2,0.9934,0.114,0.32,140.0,5.9,6
12.5,0.9906,0.04,0.31,29.0,7.2,4
12.6,0.9898,0.034,0.28,116.0,6.1,6
12.2,0.9896,0.031,0.36,104.0,5.2,6
11.2,0.9922,0.03,0.19,112.0,5.6,6
9.7,0.9947,0.048,0.1,103.0,6.4,6
9.3,0.9945,0.186,0.18,150.0,6.4,5
9.0,0.9976,0.067,0.25,178.0,7.4,6
9.0,0.9976,0.067,0.25,178.0,7.4,6
9.0,0.9976,0.067,0.25,178.0,7.4,6
9.1,0.9987,0.047,0.345,171.0,7.9,5
9.1,0.9987,0.047,0.345,171.0,7.9,5
9.0,0.9976,0.067,0.25,178.0,7.4,6
10.4,0.992,0.045,0.24,61.0,6.1,5
9.5,0.9955,0.053,0.25,211.0,6.8,6
11.4,0.9953,0.04,0.31,175.0,6.7,4
8.7,0.9976,0.05,0.46,192.0,7.2,5
9.9,0.992,0.045,0.35,167.0,5.5,6
9.9,0.9952,0.036,0.24,148.0,6.7,6
9.0,0.9983,0.047,0.28,162.0,6.8,6
10.0,0.9933,0.04,0.16,149.0,6.4,6
9.7,0.9958,0.039,0.26,172.0,6.3,6
11.8,0.9922,0.052,0.22,87.0,7.7,6
10.2,0.9928,0.044,0.18,127.0,6.5,7
8.7,0.9976,0.05,0.46,192.0,7.2,5
9.6,0.9976,0.05,0.3,168.0,7.0,7
11.3,0.9916,0.026,0.25,93.0,9.2,7
12.1,0.9901,0.028,0.28,118.0,7.8,7
9.6,0.9976,0.05,0.3,168.0,7.0,7
12.1,0.9901,0.028,0.28,118.0,7.8,7
11.3,0.9916,0.026,0.25,93.0,9.2,7
9.4,0.9982,0.046,0.35,160.0,8.4,5
10.4,0.993,0.049,0.41,137.0,6.1,6
9.5,0.9969,0.044,0.21,165.0,5.9,5
12.3,0.991,0.047,0.34,144.0,7.2,6
9.9,0.9953,0.049,0.21,150.0,6.7,7
10.1,0.9924,0.057,0.37,128.0,5.9,5
9.2,0.9969,0.063,0.34,184.0,7.7,6
10.4,0.9928,0.046,0.3,135.0,7.4,7
9.1,0.9945,0.066,0.51,165.0,6.8,5
10.0,0.9967,0.059,0.22,99.0,7.8,6
11.5,0.9944,0.051,0.35,37.0,7.2,6
9.8,0.9928,0.048,0.26,153.0,6.0,5
9.8,0.9929,0.05,0.26,154.0,6.1,6
9.4,0.9948,0.04,0.28,179.0,6.5,6
8.7,0.9976,0.051,0.41,194.0,7.4,5
11.6,0.9912,0.038,0.28,107.0,6.5,7
8.8,0.9987,0.047,0.34,181.0,6.7,5
12.7,0.99,0.032,0.2,151.0,7.2,7
11.7,0.991,0.035,0.2,138.0,7.4,7
10.2,0.9933,0.047,0.22,185.0,8.2,6
10.2,0.9933,0.047,0.23,187.0,8.2,6
12.7,0.9899,0.033,0.22,153.0,7.1,7
11.6,0.9912,0.038,0.28,107.0,6.5,7
12.3,0.9912,0.034,0.38,134.0,6.0,7
8.7,0.9976,0.051,0.41,194.0,7.4,5
9.4,0.994,0.042,0.18,111.0,5.7,5
10.1,0.9947,0.056,0.3,168.0,7.3,6
9.7,0.9954,0.042,0.24,81.0,7.4,6
10.1,0.993,0.046,0.25,134.0,6.6,7
9.7,0.9954,0.042,0.24,81.0,7.4,6
8.9,0.9963,0.049,0.26,157.0,7.4,6
10.8,0.992,0.034,0.32,136.0,6.1,7
10.8,0.9926,0.036,0.28,121.0,6.9,7
9.5,0.995,0.04,0.23,136.0,7.0,6
9.1,0.9983,0.059,0.31,148.0,7.1,5
10.9,0.992,0.037,0.2,119.0,7.3,6
9.4,0.9968,0.043,0.41,152.0,6.9,5
10.8,0.9905,0.03,0.45,131.0,6.4,5
10.8,0.9904,0.03,0.475,131.0,6.4,5
10.5,0.9926,0.051,0.27,140.0,6.3,7
9.4,0.9968,0.043,0.41,152.0,6.9,5
10.8,0.9928,0.034,0.29,127.0,7.0,6
10.5,0.9949,0.036,0.27,115.0,5.9,8
11.5,0.9909,0.036,0.19,55.0,6.9,7
9.4,0.9937,0.18,0.3,160.0,6.7,6
10.8,0.9914,0.045,0.24,106.0,7.2,6
10.8,0.9905,0.03,0.45,131.0,6.4,5
10.8,0.9904,0.03,0.475,131.0,6.4,5
9.8,0.9924,0.052,0.26,134.0,6.3,6
9.8,0.9924,0.052,0.26,134.0,6.3,6
9.6,0.9965,0.049,0.25,158.0,7.3,5
9.6,0.9965,0.049,0.25,158.0,7.3,5
9.5,0.9993,0.044,0.28,161.0,6.1,5
10.7,0.9965,0.061,0.37,94.0,7.4,6
12.4,0.9908,0.037,0.36,119.0,6.5,8
11.1,0.992,0.032,0.24,95.0,7.4,6
8.8,0.9978,0.047,0.23,133.0,7.5,5
8.7,0.9978,0.045,0.21,133.0,7.5,5
8.7,0.9978,0.045,0.21,133.0,7.5,5
8.8,0.9978,0.047,0.23,133.0,7.5,5
11.7,0.9912,0.037,0.32,101.0,7.8,7
10.9,0.9928,0.051,0.26,195.0,7.8,6
10.8,0.9928,0.051,0.24,190.0,7.7,6
9.6,0.993,0.057,0.19,135.0,7.4,6
9.0,0.9993,0.084,0.46,222.0,6.5,5
9.0,0.9965,0.083,0.26,171.0,6.5,5
10.4,0.9937,0.043,0.32,141.0,5.3,6
11.4,0.9913,0.045,0.24,64.0,7.2,5
9.3,0.9934,0.066,0.36,128.0,6.0,5
11.0,0.9952,0.039,0.24,130.0,6.2,8
9.1,0.9983,0.096,0.56,177.0,7.6,4
9.4,0.9957,0.048,0.32,228.0,7.0,6
9.4,0.9957,0.048,0.32,228.0,7.0,6
10.5,0.9916,0.036,0.31,99.0,5.8,6
8.8,0.9999,0.05,0.23,144.0,7.0,5
8.8,0.9999,0.05,0.23,144.0,7.0,5
10.7,0.9936,0.04,0.24,131.0,6.9,6
9.5,0.9972,0.045,0.29,187.0,6.0,5
10.9,0.9933,0.033,0.17,150.0,6.1,6
10.8,0.9934,0.027,0.14,140.0,5.9,6
10.8,0.9931,0.037,0.17,133.0,6.2,7
9.2,0.9976,0.053,0.28,148.0,7.4,5
10.3,0.9937,0.046,0.35,198.0,5.6,5
10.3,0.9937,0.046,0.335,197.0,5.8,5
11.0,0.991,0.047,0.235,127.0,5.6,7
9.0,0.9979,0.054,0.28,189.0,6.1,4
10.4,0.9971,0.046,0.21,179.0,6.3,6
9.5,0.9969,0.05,0.24,163.0,6.4,5
9.5,0.9968,0.051,0.24,166.0,6.4,5
9.0,0.9961,0.058,0.26,166.0,6.3,5
9.5,0.993,0.061,0.33,151.0,6.5,4
9.0,0.9973,0.05,0.105,146.0,7.4,6
10.0,0.9944,0.041,0.32,190.0,6.0,5
9.1,0.9986,0.067,0.26,189.0,7.1,7
9.1,0.9986,0.067,0.26,189.0,7.1,7
9.1,0.9986,0.067,0.26,189.0,7.1,7
9.1,0.9986,0.067,0.26,189.0,7.1,7
9.5,0.9972,0.053,0.24,134.0,5.9,6
11.4,0.9917,0.048,0.21,138.0,6.5,7
12.2,0.992,0.03,0.27,117.0,7.7,6
11.3,0.9932,0.028,0.27,95.0,9.0,6
10.2,0.9936,0.05,0.34,136.0,7.3,5
11.3,0.9915,0.052,0.27,188.0,6.6,5
10.0,0.9922,0.038,0.29,234.5,6.8,4
9.4,0.9934,0.049,0.28,86.0,7.1,5
12.2,0.9952,0.032,0.25,133.0,6.8,7
9.2,0.9972,0.094,0.57,188.0,7.0,4
9.4,0.9934,0.049,0.28,86.0,7.1,5
9.6,0.9958,0.052,0.17,182.0,7.1,6
9.5,0.9944,0.056,0.28,130.0,7.8,5
12.5,0.9908,0.036,0.22,195.0,6.8,6
9.6,0.9958,0.052,0.17,182.0,7.1,6
10.0,0.9925,0.047,0.14,173.0,6.1,6
9.3,0.9966,0.047,0.24,211.0,6.4,5
9.3,0.9972,0.058,0.42,199.0,7.8,6
11.6,0.9912,0.038,0.28,101.0,6.6,6
12.5,0.995,0.039,0.32,150.0,7.1,8
10.6,0.9928,0.038,0.31,130.0,6.7,6
9.4,0.9968,0.047,0.32,206.0,6.4,5
9.1,0.9955,0.056,0.28,201.0,6.1,6
9.0,0.9981,0.057,0.29,224.0,5.9,6
11.8,0.991,0.033,0.32,94.0,5.8,7
11.8,0.991,0.033,0.32,94.0,5.8,7
11.8,0.991,0.033,0.32,94.0,5.7,7
10.0,0.992,0.043,0.28,159.0,6.7,5
9.7,0.9931,0.058,0.34,171.0,6.8,5
9.5,0.997,0.052,0.25,165.0,5.9,6
9.4,0.9948,0.24,0.27,174.0,6.4,5
11.2,0.9923,0.052,0.46,183.0,8.1,5
9.0,0.9976,0.051,0.36,201.0,6.2,5
10.7,0.9938,0.043,0.22,114.0,6.8,7
9.0,0.9984,0.29,0.67,193.0,6.8,4
9.1,0.9972,0.044,0.28,222.0,7.2,6
10.8,0.9922,0.039,0.17,125.0,6.7,7
10.1,0.9935,0.043,0.2,136.0,6.9,4
9.9,0.9944,0.037,0.36,198.0,6.1,6
9.8,0.9942,0.036,0.36,191.0,6.0,5
9.8,0.9944,0.036,0.37,185.0,5.9,5
9.5,0.9997,0.041,0.29,225.0,7.6,6
9.5,0.9977,0.047,0.34,198.0,6.3,5
11.1,0.9912,0.022,0.19,94.0,6.7,6
9.5,0.9982,0.039,0.31,204.0,7.5,5
9.5,0.9982,0.039,0.31,204.0,7.5,5
9.4,0.9983,0.042,0.31,204.0,7.4,5
9.7,0.998,0.042,0.4,197.0,8.4,5
13.9,0.9894,0.03,0.34,135.0,5.9,7
10.1,0.9927,0.042,0.38,84.0,6.6,4
10.5,0.9917,0.038,0.33,110.0,6.4,6
12.6,0.9904,0.037,0.25,115.0,5.6,6
10.9,0.993,0.032,0.27,41.0,8.6,5
10.0,0.9941,0.041,0.31,218.0,6.2,5
11.2,0.9943,0.046,0.18,166.0,7.2,6
10.0,0.99855,0.05,0.2,130.0,7.7,6
9.2,0.99345,0.044,0.47,98.0,6.2,5
9.5,0.998,0.046,0.25,172.0,6.1,5
12.3,0.9916,0.035,0.27,128.0,8.2,6
12.3,0.9916,0.035,0.27,128.0,8.2,6
10.0,0.99475,0.04,0.31,213.0,6.4,5
10.8,0.99325,0.038,0.39,187.0,6.0,6
10.5,0.9933,0.038,0.21,150.0,6.2,7
9.2,0.9969,0.048,0.42,221.0,7.7,6
9.1,1.0002,0.042,0.27,157.0,7.0,5
10.5,0.9933,0.038,0.21,150.0,6.2,7
10.2,0.9937,0.042,0.29,127.0,7.4,7
8.9,0.99685,0.053,0.29,178.0,6.6,5
10.4,0.99455,0.046,0.3,182.0,6.0,5
11.7,0.9917,0.032,0.31,128.0,6.9,6
12.4,0.99035,0.02,0.33,89.0,6.6,8
10.9,0.9914,0.028,0.3,122.0,7.8,7
10.2,0.99225,0.041,0.39,136.0,6.4,5
11.7,0.99155,0.038,0.24,114.0,6.4,7
9.4,0.9954,0.057,0.21,101.0,7.0,5
10.5,0.99455,0.043,0.16,157.0,6.4,5
9.4,0.9924,0.185,0.33,188.0,6.0,5
10.4,0.99695,0.042,0.23,139.0,6.5,6
9.5,0.99655,0.044,0.25,240.0,6.2,6
11.1,0.9934,0.022,0.28,49.0,8.8,7
9.1,0.998,0.052,0.25,183.0,6.6,6
9.2,0.9971,0.04,0.38,191.0,6.9,5
9.6,0.9948,0.038,0.25,129.0,6.4,6
9.1,0.998,0.052,0.25,183.0,6.6,6
9.2,0.9971,0.04,0.38,191.0,6.9,5
10.8,0.99215,0.021,0.21,142.0,7.1,7
9.6,0.9948,0.038,0.25,129.0,6.4,6
12.6,0.9915,0.022,0.39,19.0,6.9,3
11.0,0.99115,0.031,0.2,57.0,5.8,6
10.2,0.9932,0.03,0.2,136.0,7.0,6
9.4,0.9977,0.034,0.26,152.0,5.9,5
10.0,0.99535,0.041,0.38,160.0,7.4,5
12.2,0.99165,0.022,0.2,113.0,7.4,6
10.5,0.9953,0.033,0.21,253.0,7.0,6
11.5,0.9928,0.024,0.29,177.0,7.2,6
9.8,0.9958,0.049,0.18,176.0,6.9,6
11.4,0.9928,0.025,0.3,175.0,7.3,6
11.5,0.9928,0.024,0.29,177.0,7.2,6
10.2,0.9964,0.036,0.2,167.0,6.9,6
9.4,0.9987,0.038,0.2,160.0,6.7,6
10.5,0.9953,0.033,0.21,253.0,7.0,6
9.1,0.9932,0.11,0.35,138.0,5.9,5
12.2,0.9907,0.032,0.28,107.0,7.1,7
9.5,0.99755,0.056,0.25,175.0,5.8,5
9.3,0.99935,0.051,0.22,178.0,6.8,6
9.8,0.9932,0.051,0.14,136.0,7.1,7
9.8,0.9932,0.047,0.13,134.0,7.1,7
9.8,0.9958,0.049,0.18,176.0,6.9,6
9.8,0.99585,0.05,0.2,173.0,7.0,6
8.7,1.00055,0.057,0.24,247.0,6.8,5
10.2,0.9985,0.039,0.44,128.0,5.0,6
9.5,0.99505,0.042,0.3,168.0,6.3,6
11.0,0.992,0.05,0.27,135.0,7.2,6
9.2,0.9988,0.078,0.5,238.0,6.7,5
10.9,0.99175,0.028,0.2,46.0,6.8,6
9.3,0.9962,0.043,0.11,113.0,6.7,7
9.3,0.9962,0.043,0.11,113.0,6.7,7
9.8,0.9942,0.045,0.12,120.0,6.8,7
9.3,0.9927,0.13,0.16,140.0,6.6,7
9.3,0.9927,0.135,0.21,144.0,6.6,7
9.4,0.99985,0.039,0.27,172.0,6.1,5
10.4,0.997,0.035,0.27,124.0,9.1,9
12.1,0.9918,0.115,0.225,104.0,6.4,6
11.0,0.99215,0.039,0.14,98.0,8.3,6
9.0,0.99865,0.052,0.23,197.0,7.2,5
9.5,0.9992,0.053,0.22,178.0,6.9,7
8.8,1.0006,0.053,0.17,145.0,8.1,8
11.2,0.99135,0.042,0.395,55.0,6.0,4
9.3,0.99715,0.056,0.29,213.0,7.8,6
9.5,0.9992,0.053,0.22,178.0,6.9,7
8.8,1.0006,0.053,0.17,145.0,8.1,8
9.0,0.99865,0.052,0.23,197.0,7.2,5
9.3,0.99815,0.039,0.3,119.0,7.6,6
9.2,0.99815,0.04,0.34,117.0,7.7,6
9.2,0.99815,0.04,0.34,117.0,7.7,6
10.0,0.9949,0.037,0.34,116.0,5.8,7
9.3,0.99815,0.039,0.3,119.0,7.6,6
9.2,0.99815,0.04,0.34,117.0,7.7,6
10.9,0.99225,0.033,0.24,92.0,5.9,7
10.0,0.99445,0.046,0.46,144.0,6.4,5
10.9,0.99225,0.033,0.24,92.0,5.9,7
9.3,0.99335,0.049,0.32,173.0,7.4,5
9.0,0.99625,0.05,0.31,157.0,7.2,5
9.2,0.9971,0.054,0.42,215.0,7.8,6
9.6,0.9983,0.046,0.24,153.0,6.9,6
9.4,0.99445,0.041,0.18,113.0,5.4,6
11.1,0.99085,0.036,0.18,75.0,6.0,8
8.9,0.9977,0.036,0.27,161.0,7.8,6
9.3,0.9953,0.048,0.28,222.0,6.0,5
9.3,0.99775,0.044,0.39,220.0,6.8,5
9.8,0.99795,0.039,0.21,165.0,6.6,7
9.8,0.99505,0.032,0.32,112.0,7.3,6
8.9,0.9977,0.036,0.27,161.0,7.8,6
9.6,0.9975,0.046,0.31,205.0,6.4,5
9.6,0.99745,0.046,0.29,204.0,6.2,6
9.0,0.9976,0.046,0.39,246.0,6.0,6
9.5,0.99775,0.046,0.3,206.0,6.2,6
9.3,0.9953,0.048,0.28,222.0,6.0,5
9.2,0.9932,0.063,0.41,120.0,6.0,6
9.1,0.99405,0.055,0.35,160.0,6.4,7
9.5,1.0,0.045,0.26,166.0,6.5,6
10.5,0.99785,0.072,0.35,229.0,7.9,6
9.0,0.9939,0.04,0.3,125.0,6.2,5
11.7,0.9939,0.036,0.18,77.0,8.4,5
9.1,0.99675,0.034,0.56,133.0,6.6,5
9.0,0.9939,0.04,0.3,125.0,6.2,5
9.1,0.99675,0.034,0.56,133.0,6.6,5
12.4,0.98965,0.021,0.36,85.0,6.6,9
9.2,0.9971,0.071,0.655,212.0,7.3,6
9.4,0.99445,0.053,0.18,104.0,6.8,5
9.6,0.9945,0.047,0.19,117.0,6.7,6
11.7,0.9939,0.036,0.18,77.0,8.4,5
9.8,0.9958,0.042,0.21,167.0,7.0,6
10.2,0.9956,0.046,0.25,155.0,6.8,6
12.5,0.99055,0.031,0.24,139.0,7.4,9
10.9,0.9959,0.044,0.16,90.0,7.1,7
11.0,0.9925,0.043,0.16,90.0,7.1,7
10.5,0.9963,0.06,0.205,110.0,7.3,6
11.5,0.9935,0.037,0.17,161.0,7.4,4
12.8,0.99105,0.044,0.3,108.0,7.3,8
12.2,0.99045,0.035,0.25,82.0,6.9,6
10.5,0.9963,0.06,0.205,110.0,7.3,6
12.8,0.99155,0.04,0.42,108.0,7.5,8
11.9,0.99085,0.034,0.25,177.0,7.3,8
11.9,0.99085,0.034,0.25,177.0,7.3,8
11.9,0.99085,0.034,0.25,177.0,7.3,8
12.0,0.9924,0.034,0.34,126.0,7.5,7
12.0,0.9924,0.036,0.33,126.0,7.6,7
8.8,0.99975,0.044,0.23,169.0,8.7,7
8.8,0.99975,0.044,0.23,169.0,8.7,7
10.8,0.99315,0.036,0.19,101.0,6.9,7
11.0,0.9917,0.034,0.21,118.0,7.3,8
11.0,0.9917,0.034,0.21,118.0,7.3,8
9.3,0.99845,0.035,0.22,153.0,6.6,5
10.8,0.9921,0.026,0.34,73.0,9.2,5
8.8,0.99975,0.044,0.23,169.0,8.7,7
11.5,0.9909,0.03,0.2,105.0,6.0,6
10.8,0.99315,0.036,0.19,101.0,6.9,7
9.4,0.99855,0.042,0.38,166.0,8.2,5
9.5,0.9934,0.036,0.18,117.0,6.9,7
8.6,0.9978,0.039,0.34,151.0,7.7,5
9.5,0.9934,0.036,0.18,117.0,6.9,7
10.3,0.9949,0.038,0.2,116.0,7.4,7
9.4,0.99855,0.042,0.38,166.0,8.2,5
9.4,0.9986,0.042,0.4,169.0,8.2,5
10.0,0.99725,0.038,0.22,149.0,6.7,7
9.4,0.9946,0.17,0.3,166.0,6.6,5
10.4,0.99255,0.03,0.27,103.0,8.1,8
9.1,0.9996,0.041,0.25,182.0,7.3,7
9.9,0.9939,0.028,0.34,163.0,4.8,6
12.1,0.99,0.029,0.28,111.0,6.2,6
9.9,0.9937,0.028,0.33,163.0,4.8,5
12.5,0.9886,0.021,0.27,117.0,6.1,6
9.5,0.9934,0.036,0.18,117.0,6.9,7
8.5,1.0,0.042,0.18,143.0,7.8,8
9.0,0.9994,0.04,0.28,173.0,7.3,7
10.1,0.9926,0.037,0.24,97.0,7.3,6
9.4,0.9956,0.08,0.45,159.0,6.0,5
8.6,0.9978,0.039,0.34,151.0,7.7,5
10.7,0.9915,0.03,0.26,125.0,6.3,6
9.6,0.9939,0.037,0.17,33.0,10.3,3
10.1,0.9932,0.029,0.15,64.0,7.7,5
10.0,0.993,0.037,0.21,141.0,7.1,7
12.7,0.9898,0.018,0.36,119.0,6.9,9
10.2,0.9921,0.119,0.28,104.0,6.0,6
8.9,0.9932,0.126,0.16,110.0,6.2,6
11.9,0.9919,0.037,0.12,111.0,6.9,8
10.0,0.993,0.037,0.21,141.0,7.1,7
9.9,0.9953,0.04,0.36,121.0,8.8,6
11.5,0.9928,0.022,0.26,125.0,7.4,6
11.5,0.9928,0.022,0.26,125.0,7.4,6
9.8,0.9976,0.035,0.23,236.0,6.8,6
12.2,0.9906,0.024,0.34,105.0,6.1,7
11.4,0.9918,0.04,0.26,173.0,7.3,6
11.0,0.99185,0.044,0.3,90.0,6.5,7
11.4,0.9918,0.04,0.26,173.0,7.3,6
11.0,0.99185,0.044,0.3,90.0,6.5,7
9.9,0.994,0.046,0.31,166.0,5.0,6
11.0,0.9908,0.031,0.26,114.0,5.8,7
9.4,0.9928,0.036,0.26,114.0,5.9,5
12.2,0.9896,0.037,0.31,128.0,7.0,7
11.0,0.9908,0.031,0.26,114.0,5.8,7
10.3,0.9918,0.043,0.19,67.0,5.6,6
10.5,0.9952,0.047,0.18,242.0,6.8,6
10.5,0.9923,0.044,0.29,87.0,7.0,6
10.9,0.9915,0.039,0.26,67.0,6.6,6
10.5,0.9952,0.047,0.18,242.0,6.8,6
11.0,0.9947,0.052,0.2,145.0,6.6,7
9.7,0.9983,0.046,0.29,113.0,8.0,6
8.9,0.9975,0.048,0.28,229.0,6.1,5
9.6,0.995,0.047,0.31,206.0,5.9,6
8.8,0.9944,0.056,0.21,159.0,6.9,8
11.1,0.994,0.047,0.19,101.0,8.4,4
10.3,0.9944,0.048,0.27,72.0,8.3,4
12.2,0.9908,0.036,0.25,124.0,7.1,8
9.8,0.99795,0.054,0.23,159.0,8.0,4
8.8,0.9985,0.049,0.24,217.0,7.5,5
9.9,0.99425,0.04,0.33,144.0,6.3,5
9.9,0.99425,0.042,0.33,143.0,6.2,5
9.9,0.9943,0.041,0.34,145.0,6.3,5
9.2,0.9924,0.038,0.29,30.0,5.8,5
9.5,0.9946,0.05,0.32,88.0,8.0,4
9.2,0.9924,0.038,0.29,30.0,5.6,5
10.3,0.995,0.042,0.13,137.0,7.4,7
11.0,0.9919,0.037,0.3,124.0,7.7,6
11.9,0.99,0.031,0.24,107.0,7.0,6
10.2,0.9923,0.04,0.18,107.0,8.6,7
9.4,0.9956,0.057,0.11,144.0,7.0,7
8.9,0.9978,0.036,0.32,153.0,7.7,6
8.9,0.9978,0.036,0.32,153.0,7.7,6
10.0,0.9967,0.044,0.26,215.0,6.5,6
10.7,0.9934,0.044,0.28,152.0,7.9,8
9.8,0.9936,0.047,0.27,100.0,6.3,5
9.3,0.9932,0.042,0.595,80.0,5.4,5
9.5,0.9934,0.057,0.25,173.0,6.7,7
10.0,0.998,0.055,0.25,179.0,6.5,5
9.0,0.9978,0.044,0.36,115.0,6.1,5
11.9,0.9929,0.017,0.17,84.0,7.7,7
8.9,0.9974,0.033,0.26,230.0,6.4,5
10.0,0.99685,0.046,0.26,225.0,6.5,6
9.6,0.99495,0.037,0.29,205.0,5.9,5
8.9,0.99745,0.039,0.28,233.0,6.2,5
8.9,0.99505,0.041,0.27,230.0,6.1,5
11.4,0.992,0.048,0.43,67.0,6.4,5
9.0,0.9978,0.044,0.36,115.0,6.1,5
10.0,0.9956,0.044,0.35,244.0,6.2,6
9.6,0.9982,0.044,0.24,194.0,7.7,7
9.7,0.99485,0.034,0.34,197.0,6.2,5
9.5,0.9971,0.037,0.27,212.0,6.3,6
10.0,0.99265,0.039,0.415,88.0,5.4,7
12.2,0.9904,0.03,0.48,135.0,6.9,7
8.7,0.9965,0.051,0.18,131.0,6.5,7
10.2,0.9946,0.058,0.15,105.0,6.7,7
9.6,0.99965,0.047,0.345,205.0,8.2,5
10.0,0.9935,0.039,0.16,147.0,8.5,5
9.5,0.996,0.048,0.705,57.0,6.8,4
11.5,0.9942,0.034,0.25,84.0,7.3,5
9.5,0.9936,0.043,0.345,134.0,7.6,5
9.8,0.9965,0.035,0.22,143.0,7.6,6
10.1,0.9928,0.028,0.17,99.0,6.5,6
10.0,0.9928,0.042,0.23,117.0,8.2,5
9.8,0.9965,0.035,0.22,143.0,7.6,6
9.5,0.9936,0.043,0.345,134.0,7.6,5
9.5,0.9938,0.042,0.32,133.0,7.5,5
10.2,0.9926,0.041,0.23,79.0,6.6,7
10.2,0.9926,0.039,0.2,78.0,6.6,7
9.0,0.9983,0.05,0.24,174.0,7.3,6
9.0,0.9983,0.05,0.24,174.0,7.3,6
12.3,0.992,0.037,0.42,101.0,8.0,7
9.0,0.9983,0.05,0.24,174.0,7.3,6
11.6,0.9923,0.023,0.19,112.0,6.1,6
9.5,0.9972,0.034,0.26,152.0,5.9,6
11.5,0.9928,0.035,0.23,101.0,8.3,5
9.6,0.9928,0.041,0.34,188.0,6.5,6
9.0,0.9994,0.039,0.22,153.0,6.8,6
12.0,0.991,0.028,0.08,93.0,6.5,7
11.4,0.9906,0.019,0.42,68.0,5.5,7
12.3,0.9894,0.017,0.42,102.0,5.1,7
12.6,0.9898,0.02,0.27,110.0,6.0,7
9.0,0.9994,0.039,0.22,153.0,6.8,6
12.0,0.991,0.028,0.08,93.0,6.5,7
11.7,0.9925,0.046,0.13,114.0,7.1,6
9.2,0.9956,0.054,0.3,111.0,7.6,5
10.3,0.9946,0.058,0.13,131.0,6.6,6
8.6,0.9966,0.05,0.14,189.0,6.5,5
10.7,0.9951,0.037,0.28,155.0,7.7,7
9.8,0.9927,0.15,0.2,54.0,6.0,5
9.8,0.9927,0.152,0.19,55.0,6.0,6
10.7,0.9951,0.037,0.28,155.0,7.7,7
12.5,0.9894,0.027,0.39,72.0,5.1,6
11.9,0.9907,0.026,0.36,77.0,5.7,6
10.8,0.9925,0.043,0.19,149.0,6.9,5
10.5,0.9928,0.05,0.41,122.0,6.0,6
10.3,0.9941,0.054,0.28,161.0,7.4,6
10.3,0.9941,0.053,0.3,163.0,7.4,6
10.8,0.9925,0.043,0.19,149.0,6.9,5
12.0,0.9935,0.036,0.28,117.0,7.7,7
10.2,0.9932,0.04,0.16,143.0,8.6,6
10.2,0.9944,0.046,0.26,69.0,8.2,4
9.9,0.9972,0.049,0.25,217.0,6.5,5
10.1,0.994,0.046,0.24,62.0,7.0,4
9.5,0.9956,0.04,0.18,187.0,8.6,6
10.5,0.9927,0.046,0.27,154.0,7.8,6
10.4,0.9924,0.046,0.26,29.0,6.0,5
9.5,0.9966,0.062,0.24,152.0,6.1,6
9.2,0.9997,0.056,0.24,184.0,8.0,6
10.1,0.9936,0.046,0.21,165.0,7.6,7
9.8,0.9936,0.05,0.19,84.0,8.0,7
9.4,0.9952,0.045,0.28,216.0,6.4,5
9.4,0.9952,0.045,0.28,221.0,6.4,6
10.4,0.9928,0.063,0.24,136.0,6.9,7
11.3,0.9911,0.038,0.36,153.0,5.8,6
10.8,0.993,0.044,0.18,91.0,6.6,6
11.3,0.9911,0.038,0.36,153.0,5.8,6
9.3,0.9932,0.052,0.52,79.0,5.1,5
10.3,0.993,0.059,0.22,199.0,6.6,7
10.5,0.993,0.055,0.15,146.0,8.3,6
10.3,0.9932,0.043,0.16,109.0,7.6,6
11.2,0.9932,0.048,0.16,173.0,7.7,7
10.3,0.9943,0.057,0.16,98.0,8.3,6
9.5,0.9968,0.048,0.25,210.0,6.2,5
8.9,0.9994,0.064,0.16,162.0,6.1,5
10.2,0.9926,0.036,0.39,113.0,7.6,5
9.2,0.9968,0.071,0.37,136.0,6.8,5
10.3,0.9932,0.043,0.16,109.0,7.6,6
10.5,0.9916,0.045,0.18,157.0,7.1,6
9.5,0.9946,0.049,0.14,189.0,8.3,6
11.4,0.9925,0.041,0.2,125.0,8.6,7
11.4,0.9925,0.041,0.2,125.0,8.6,7
11.1,0.9935,0.019,0.19,188.0,6.8,8
10.5,0.9962,0.06,0.19,174.0,7.6,6
12.0,0.9928,0.088,0.34,185.0,6.8,6
9.7,0.993,0.039,0.15,123.0,6.2,6
10.2,0.993,0.042,0.14,140.0,6.6,6
9.5,0.9956,0.04,0.55,60.0,8.0,4
10.4,0.9941,0.052,0.24,128.0,7.0,7
9.3,0.9972,0.05,0.6,245.0,6.3,4
10.5,0.9948,0.054,0.2,166.0,7.1,6
10.0,0.9955,0.047,0.34,232.0,6.2,6
10.2,0.9972,0.055,0.3,234.0,7.1,6
10.2,0.9972,0.055,0.3,234.0,7.1,6
9.1,0.9983,0.244,0.64,227.0,7.9,3
10.2,0.9942,0.04,0.17,148.0,8.8,6
